                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 0.4338,                0.41858,                0.86344,                 0.9424,                0.91058,                0.98177,                0.85527,                  0.525,                0.47997,                0.91759,              0.0010541,              0.0010541,              0.0010541
                    109,                0.43882,                0.42665,                0.87216,                0.96256,                0.93285,                0.98516,                0.85871,                0.51162,                0.49907,                0.91524,              0.0010506,              0.0010506,              0.0010506
                    110,                0.42141,                0.42052,                0.85381,                0.93292,                0.96706,                0.97271,                0.87548,                0.51907,                0.48021,                0.90984,               0.001047,               0.001047,               0.001047
                    111,                0.41322,                0.41104,                0.85201,                0.93906,                 0.9398,                0.97547,                0.85368,                0.53887,                0.49824,                0.90904,              0.0010435,              0.0010435,              0.0010435
                    112,                 0.4271,                0.41855,                0.85112,                0.93575,                0.93939,                 0.9685,                0.85366,                0.56955,                0.49028,                0.94214,                0.00104,                0.00104,                0.00104
                    113,                0.42602,                0.42429,                0.85433,                0.93149,                0.94208,                0.97497,                0.85199,                0.55578,                 0.4553,                0.92646,              0.0010364,              0.0010364,              0.0010364
                    114,                0.40886,                0.41533,                0.84791,                0.96148,                0.91832,                   0.98,                0.86528,                0.54778,                0.44369,                0.91521,              0.0010329,              0.0010329,              0.0010329
                    115,                0.39512,                0.40083,                0.82211,                0.95708,                 0.9297,                0.97964,                 0.8583,                0.54912,                0.45845,                0.91316,              0.0010293,              0.0010293,              0.0010293
                    116,                 0.4005,                0.39819,                0.83985,                0.96345,                0.93939,                0.97987,                0.87061,                0.53012,                0.45711,                0.90475,              0.0010258,              0.0010258,              0.0010258
                    117,                0.44533,                0.41472,                0.85481,                0.99625,                0.96865,                 0.9925,                0.87266,                0.50385,                0.44743,                0.89331,              0.0010223,              0.0010223,              0.0010223
                    118,                0.40667,                0.40902,                0.84849,                 0.9683,                0.93939,                   0.99,                0.86801,                0.49576,                0.45574,                0.89022,              0.0010187,              0.0010187,              0.0010187
                    119,                0.41859,                0.41413,                0.84877,                0.95364,                0.87879,                 0.9695,                0.86208,                0.49493,                0.45858,                0.89242,              0.0010152,              0.0010152,              0.0010152
                    120,                0.42699,                0.41257,                0.84066,                0.92093,                0.94156,                0.95553,                0.84967,                0.49452,                0.46284,                0.90648,              0.0010117,              0.0010117,              0.0010117
                    121,                0.39912,                0.41181,                0.87317,                0.93658,                0.89343,                0.94878,                0.84799,                 0.5182,                0.47641,                0.92374,              0.0010081,              0.0010081,              0.0010081
                    122,                0.43888,                0.40224,                0.85591,                0.88795,                0.90909,                0.93734,                0.83486,                0.51173,                0.48768,                0.92715,              0.0010046,              0.0010046,              0.0010046
                    123,                0.40436,                0.40357,                 0.8492,                0.92082,                0.86158,                0.93126,                0.83404,                0.51372,                 0.4765,                0.92032,              0.0010011,              0.0010011,              0.0010011
                    124,                0.41885,                0.40413,                 0.8414,                0.93279,                0.90159,                0.93316,                0.83399,                0.51495,                0.49221,                0.91109,             0.00099751,             0.00099751,             0.00099751
                    125,                0.43773,                0.42471,                0.84787,                0.90696,                0.90824,                0.94427,                0.84483,                0.49733,                0.48261,                0.90919,             0.00099398,             0.00099398,             0.00099398
                    126,                0.43518,                0.41129,                0.85361,                0.90451,                0.93939,                0.94635,                0.85145,                0.47603,                0.47442,                 0.9034,             0.00099044,             0.00099044,             0.00099044
                    127,                0.41988,                0.40718,                0.83685,                0.90645,                0.96969,                0.94122,                0.82973,                0.48465,                0.46664,                0.89781,              0.0009869,              0.0009869,              0.0009869
                    128,                0.40477,                 0.3857,                0.83857,                0.94922,                0.93939,                0.94279,                 0.8441,                0.47036,                 0.4672,                0.89056,             0.00098337,             0.00098337,             0.00098337
                    129,                0.40684,                0.39537,                 0.8644,                0.92237,                0.93939,                0.95043,                0.86342,                0.46299,                0.46536,                0.88749,             0.00097983,             0.00097983,             0.00097983
                    130,                0.44185,                0.40628,                0.84539,                0.93132,                0.93939,                0.95102,                0.88154,                0.45347,                0.45533,                 0.8797,             0.00097629,             0.00097629,             0.00097629
                    131,                 0.3985,                0.39048,                 0.8528,                0.91242,                0.93939,                0.94837,                0.87498,                0.45244,                0.44613,                0.87731,             0.00097276,             0.00097276,             0.00097276
                    132,                0.42125,                0.39689,                0.85929,                0.90765,                0.93939,                0.94638,                0.86055,                 0.4517,                0.44876,                0.87856,             0.00096922,             0.00096922,             0.00096922
                    133,                0.41547,                0.40085,                0.87344,                0.93071,                 0.9697,                0.96817,                 0.8781,                0.45571,                0.41907,                0.88383,             0.00096568,             0.00096568,             0.00096568
                    134,                0.45437,                 0.4007,                0.86553,                0.93092,                0.96082,                0.97562,                0.86416,                0.44895,                0.42828,                0.87841,             0.00096215,             0.00096215,             0.00096215
                    135,                0.39081,                0.37715,                0.84231,                0.89505,                0.93939,                0.96779,                0.86199,                0.48612,                0.44282,                0.89655,             0.00095861,             0.00095861,             0.00095861
                    136,                0.38818,                0.37433,                0.84139,                0.91278,                 0.9697,                0.96917,                0.86178,                0.48055,                0.44304,                0.89127,             0.00095507,             0.00095507,             0.00095507
                    137,                0.40512,                0.40167,                0.84318,                0.92156,                      1,                0.98214,                0.87998,                0.45424,                0.42105,                 0.8764,             0.00095154,             0.00095154,             0.00095154
                    138,                0.41093,                0.38869,                0.84669,                0.92345,                      1,                0.98584,                0.87573,                0.46681,                0.42776,                0.88093,               0.000948,               0.000948,               0.000948
                    139,                0.38413,                0.38895,                0.86858,                0.91968,                0.98737,                0.99038,                0.88483,                0.48239,                0.43491,                0.88496,             0.00094446,             0.00094446,             0.00094446
                    140,                0.40085,                0.38403,                0.84181,                 0.9224,                0.99558,                  0.995,                0.89753,                0.47904,                0.42303,                0.88142,             0.00094093,             0.00094093,             0.00094093
                    141,                0.40017,                0.39243,                0.84275,                0.92652,                0.98321,                  0.995,                 0.9227,                0.44095,                0.39882,                0.86999,             0.00093739,             0.00093739,             0.00093739
                    142,                0.39932,                0.37673,                 0.8454,                0.93474,                      1,                  0.995,                0.92072,                0.43493,                0.40854,                0.86613,             0.00093385,             0.00093385,             0.00093385
                    143,                0.39853,                0.38539,                0.83427,                0.93701,                      1,                 0.9925,                0.90001,                0.44678,                0.40875,                0.86975,             0.00093031,             0.00093031,             0.00093031
                    144,                0.39001,                0.37845,                0.85836,                0.97802,                0.95584,                 0.9925,                0.89543,                0.44166,                0.38043,                0.87243,             0.00092678,             0.00092678,             0.00092678
                    145,                0.39807,                0.38174,                0.84282,                0.99573,                0.96192,                 0.9925,                0.89785,                0.44937,                0.36482,                0.87701,             0.00092324,             0.00092324,             0.00092324
                    146,                0.42513,                0.40124,                0.84689,                0.98658,                0.95267,                 0.9925,                0.89611,                0.46464,                0.38447,                0.88129,              0.0009197,              0.0009197,              0.0009197
                    147,                0.40587,                0.39518,                0.85448,                0.98059,                0.93751,                0.99038,                0.89777,                0.45566,                0.39737,                0.88314,             0.00091617,             0.00091617,             0.00091617
                    148,                0.38063,                0.36783,                0.84629,                0.97891,                0.93327,                0.99038,                0.87947,                0.46534,                0.40825,                0.89513,             0.00091263,             0.00091263,             0.00091263
                    149,                0.38732,                0.37448,                0.84779,                0.90999,                 0.9697,                0.98334,                0.87872,                0.47679,                0.41738,                0.89898,             0.00090909,             0.00090909,             0.00090909
                    150,                0.40218,                0.38622,                0.84484,                0.90997,                 0.9697,                0.97966,                0.86542,                0.50032,                0.43846,                0.91307,             0.00090556,             0.00090556,             0.00090556
                    151,                0.40899,                0.38196,                0.84355,                0.90417,                0.93939,                0.95287,                0.83921,                0.54355,                0.45219,                0.94005,             0.00090202,             0.00090202,             0.00090202
                    152,                0.42788,                0.39087,                0.87268,                0.93467,                 0.9697,                   0.96,                0.86886,                0.51443,                0.42604,                0.92957,             0.00089848,             0.00089848,             0.00089848
                    153,                0.41107,                0.39107,                0.86952,                0.95222,                      1,                   0.99,                0.87948,                0.47585,                 0.3948,                0.90895,             0.00089495,             0.00089495,             0.00089495
                    154,                0.39747,                0.37604,                0.85285,                 0.9427,                0.96189,                0.98766,                0.87476,                0.47232,                0.39139,                0.90015,             0.00089141,             0.00089141,             0.00089141
                    155,                0.37616,                0.36762,                0.84662,                0.92011,                0.93939,                 0.9513,                0.87528,                0.51487,                0.40252,                0.91387,             0.00088787,             0.00088787,             0.00088787
